,load
02/07/2015 00:00,18493
02/07/2015 01:00,17090
02/07/2015 02:00,16052
02/07/2015 03:00,15356
02/07/2015 04:00,14936
02/07/2015 05:00,14884
02/07/2015 06:00,15314
02/07/2015 07:00,16591
02/07/2015 08:00,18271
02/07/2015 09:00,19470
02/07/2015 10:00,20364
02/07/2015 11:00,21181
02/07/2015 12:00,21714
02/07/2015 13:00,22057
02/07/2015 14:00,22313
02/07/2015 15:00,22337
02/07/2015 16:00,22136
02/07/2015 17:00,21972
02/07/2015 18:00,21717
02/07/2015 19:00,21071
02/07/2015 20:00,20473
02/07/2015 21:00,20195
02/07/2015 22:00,19896
02/07/2015 23:00,18717
03/07/2015 00:00,17352
03/07/2015 01:00,16108
03/07/2015 02:00,15179
03/07/2015 03:00,14519
03/07/2015 04:00,14107
03/07/2015 05:00,13947
03/07/2015 06:00,13996
03/07/2015 07:00,14541
03/07/2015 08:00,15620
03/07/2015 09:00,16746
03/07/2015 10:00,17752
03/07/2015 11:00,18535
03/07/2015 12:00,19062
03/07/2015 13:00,19430
03/07/2015 14:00,19745
03/07/2015 15:00,20061
03/07/2015 16:00,20435
03/07/2015 17:00,20675
03/07/2015 18:00,20585
03/07/2015 19:00,20138
03/07/2015 20:00,19525
03/07/2015 21:00,19172
03/07/2015 22:00,19034
03/07/2015 23:00,18112
04/07/2015 00:00,16956
04/07/2015 01:00,15872
04/07/2015 02:00,15036
04/07/2015 03:00,14479
04/07/2015 04:00,14118
04/07/2015 05:00,13930
04/07/2015 06:00,13891
04/07/2015 07:00,14069
04/07/2015 08:00,14758
04/07/2015 09:00,15804
04/07/2015 10:00,16822
04/07/2015 11:00,17572
04/07/2015 12:00,17963
04/07/2015 13:00,18211
04/07/2015 14:00,18192
04/07/2015 15:00,18058
04/07/2015 16:00,17974
04/07/2015 17:00,18087
04/07/2015 18:00,18168
04/07/2015 19:00,17927
04/07/2015 20:00,17503
04/07/2015 21:00,17246
04/07/2015 22:00,17159
04/07/2015 23:00,16777
05/07/2015 00:00,16141
05/07/2015 01:00,15281
05/07/2015 02:00,14584
05/07/2015 03:00,14057
05/07/2015 04:00,13744
05/07/2015 05:00,13582
05/07/2015 06:00,13440
05/07/2015 07:00,13566
05/07/2015 08:00,14354
05/07/2015 09:00,15567
05/07/2015 10:00,16691
05/07/2015 11:00,17785
05/07/2015 12:00,18706
05/07/2015 13:00,19403
05/07/2015 14:00,19949
05/07/2015 15:00,20348
05/07/2015 16:00,20764
05/07/2015 17:00,21148
05/07/2015 18:00,21343
05/07/2015 19:00,21123
05/07/2015 20:00,20670
05/07/2015 21:00,20539
05/07/2015 22:00,20580
05/07/2015 23:00,19517
06/07/2015 00:00,18130
06/07/2015 01:00,16923
06/07/2015 02:00,16095
06/07/2015 03:00,15537
06/07/2015 04:00,15261
06/07/2015 05:00,15325
06/07/2015 06:00,15803
06/07/2015 07:00,17065
06/07/2015 08:00,18915
06/07/2015 09:00,20549
06/07/2015 10:00,22019
06/07/2015 11:00,23238
06/07/2015 12:00,24085
06/07/2015 13:00,24614
06/07/2015 14:00,25089
06/07/2015 15:00,25381
06/07/2015 16:00,25580
06/07/2015 17:00,25621
06/07/2015 18:00,25415
06/07/2015 19:00,24683
06/07/2015 20:00,23922
06/07/2015 21:00,23446
06/07/2015 22:00,23139
06/07/2015 23:00,21698
07/07/2015 00:00,19969
07/07/2015 01:00,18563
07/07/2015 02:00,17683
07/07/2015 03:00,17136
07/07/2015 04:00,16843
07/07/2015 05:00,16974
07/07/2015 06:00,17651
07/07/2015 07:00,19086
07/07/2015 08:00,21006
07/07/2015 09:00,22626
07/07/2015 10:00,23979
07/07/2015 11:00,25154
07/07/2015 12:00,26127
07/07/2015 13:00,26871
07/07/2015 14:00,27642
07/07/2015 15:00,28023
07/07/2015 16:00,28043
07/07/2015 17:00,28172
07/07/2015 18:00,27882
07/07/2015 19:00,27070
07/07/2015 20:00,26232
07/07/2015 21:00,25652
07/07/2015 22:00,25164
07/07/2015 23:00,23422
08/07/2015 00:00,21433
08/07/2015 01:00,19820
08/07/2015 02:00,18682
08/07/2015 03:00,17953
08/07/2015 04:00,17588
08/07/2015 05:00,17523
08/07/2015 06:00,18064
08/07/2015 07:00,19436
08/07/2015 08:00,21111
08/07/2015 09:00,22320
08/07/2015 10:00,23232
08/07/2015 11:00,24050
08/07/2015 12:00,24785
08/07/2015 13:00,25462
08/07/2015 14:00,26092
08/07/2015 15:00,26609
08/07/2015 16:00,26567
08/07/2015 17:00,26146
08/07/2015 18:00,25603
08/07/2015 19:00,24933
08/07/2015 20:00,24309
08/07/2015 21:00,24012
08/07/2015 22:00,23595
08/07/2015 23:00,22139
09/07/2015 00:00,20337
09/07/2015 01:00,18834
09/07/2015 02:00,17785
09/07/2015 03:00,17114
09/07/2015 04:00,16565
09/07/2015 05:00,16456
09/07/2015 06:00,16926
09/07/2015 07:00,18037
09/07/2015 08:00,19574
09/07/2015 09:00,20610
09/07/2015 10:00,21271
09/07/2015 11:00,21701
09/07/2015 12:00,22044
09/07/2015 13:00,22253
09/07/2015 14:00,22481
09/07/2015 15:00,22513
09/07/2015 16:00,22624
09/07/2015 17:00,22900
